newpoint	0	1	0	0	16839.0	14350.0	298.0	16775	14571
newpoint	1	1	0	0	15639.0	11834.0	198.0	15740	11786
newpoint	2	1	2	0	12207.0	29613.0	252.25	11965	29682
newpoint	3	1	1	0	12140.0	17215.0	298.0	12041	17137
newpoint	4	1	1	0	15731.0	6063.0	298.0	15705	6260
point	4	2	1	1	15691.142824367853	6358.319960437613	298.0	15684	6409
point	3	2	1	1	11878.409744825583	17081.014814182756	298.0	11764	17040
point	2	2	2	1	11964.63675438594	29681.515672514586	252.25	11449	28994
point	1	2	0	1	15777.816299510296	11863.43337518775	198.0	15803	11915
point	0	2	0	1	16735.302470799048	14624.83119402933	298.0	16592	14711
newpoint	5	1	0	1	16413.0	21855.0	672.0	16228	21738
newpoint	6	1	0	1	12853.0	25867.0	298.0	12723	25887
newpoint	7	1	2	1	15493.0	22496.0	198.0	15443	22604
newpoint	8	1	0	1	5031.0	18135.0	298.0	5045	18095
newpoint	9	1	2	1	18879.0	13881.0	132.0	18695	13634
point	9	2	2	2	18800.143272772177	13775.143415080041	132.0	18695	13634
point	8	2	0	2	5145.337965010876	17859.94443975035	298.0	5168	17808
point	7	2	2	2	15534.725924138822	22645.383323913793	252.25	15658	22701
point	6	2	0	2	12557.179500701333	25898.368852783493	298.0	12404	25905
point	5	2	0	2	15813.109129480586	21556.124126004706	672.0000000000001	15765	21537
point	4	3	1	2	15604.363249983915	6642.386117692474	298.0	15545	6810
point	3	3	1	2	11598.664965855502	16895.36531707347	448.0	11584	16893
point	2	3	2	2	11813.28675438594	29479.715672514587	252.25	11449	28994
point	1	3	0	2	15594.760899907003	12124.436486878814	448.0	15492	12165
point	0	3	0	2	16477.64907730286	14774.472318325285	298.0	16365	14837
newpoint	10	1	5	2	9579.0	12916.0	31.531249999999996	9596	12905
newpoint	11	1	1	2	12449.0	26627.0	298.0	12303	26670
newpoint	12	1	0	2	1765.0	22144.0	132.0	2569	21983
newpoint	13	1	0	2	12871.0	22887.0	298.0	12638	22762
newpoint	14	1	1	2	6256.0	15391.0	298.0	6313	15409
point	14	2	1	3	6312.845437084176	15331.666464132491	504.50000000000006	6155	15151
point	13	2	0	3	12610.258455235478	22743.06529484326	298.0	12449	22633
point	12	2	0	3	1894.4304538292672	22118.081712603842	132.0	2569	21983
point	11	2	1	3	12289.083064982868	26524.866249107043	298.0	12289	26524
point	10	2	5	3	9605.124802048118	12898.363780328642	31.53125	9607	12897
point	9	3	2	3	18721.286545544353	13669.286830160081	132.0	18695	13634
point	8	3	0	3	5709.825903410669	17794.0	672.0	5846	17794
point	7	3	2	3	15745.188088831366	22779.036153635327	252.25	15833	22857
point	6	3	0	3	12313.902803619392	25839.85111020558	298.0	12220	25856
point	5	3	0	3	15189.755515816456	21305.10220632658	672.0	15187	21304
point	4	4	1	3	15540.336162561978	6930.093814029076	298.0	15533	7119
point	3	4	1	3	11738.289620568494	16508.473214180816	504.5	11745	16487
point	2	4	2	3	11661.936754385939	29277.915672514588	252.25	11449	28994
point	1	4	0	3	15207.024509552528	12343.57153894517	448.00000000000006	15205	12345
point	0	4	0	3	16296.860746002236	14682.311254640123	298.0	16239	14585
newpoint	15	1	1	3	10214.0	7119.0	298.0	10210	7260
newpoint	16	1	0	3	18276.0	25383.0	132.0	18213	25315
newpoint	17	1	1	3	15234.0	22179.0	198.0	15346	22223
newpoint	18	1	0	3	13856.0	28163.0	298.0	13829	28012
newpoint	19	1	2	3	4410.0	17879.0	252.25	4564	17828
point	19	2	2	4	4604.024724218878	17747.36195267667	252.25	4632	17691
point	18	2	0	4	13785.222139260413	27874.180808782785	298.0	13775	27842
point	17	2	1	4	15314.108654505151	22293.817546613558	198.0	15278	22374
point	16	2	0	4	18186.445399380213	25286.026458028206	132.0	17719	24776
point	15	2	1	4	10204.997518473314	7416.863527872491	298.0	10196	7699
point	14	3	1	4	6025.159669452177	14921.090823853585	504.5	5956	14756
point	13	3	0	4	12354.26112428244	22593.19846049736	298.0	12280	22562
point	12	3	0	4	2023.8609076585346	22092.16342520768	132.0	2569	21983
point	11	3	1	4	12152.792378660062	26310.837398834374	298.0	11991	26302
point	10	3	5	4	9631.42311042613	12880.972333782853	31.53125	9703	12834
point	9	4	2	4	18689.790980984937	13546.171131491998	132.0	18661	13432
point	8	4	0	4	6360.731034165827	17929.147601634122	672.0000000000001	6483	17923
point	7	4	2	4	15961.089311166023	22899.073131404897	252.25	15970	22902
point	6	4	0	4	12017.287145758377	25857.541542617808	298.0	11957	25858
point	5	4	0	4	14564.946953087849	21057.801686565585	672.0	14342	20966
point	4	5	1	4	15570.974066275494	7221.119448497612	298.0	15607	7318
point	3	5	1	4	11654.861715869476	16049.857074497108	504.5	11513	15775
point	2	5	2	4	11510.586754385939	29076.115672514585	252.25	11449	28994
point	1	5	0	4	14853.895301653189	12618.767946611322	448.0	14631	12806
point	0	5	0	4	16123.050893148624	14441.155055057294	298.0	16081	14393
newpoint	20	1	0	4	13235.0	21493.0	298.00000000000006	12970	21342
newpoint	21	1	1	4	7973.0	17973.0	298.0	7967	18023
newpoint	22	1	0	4	7287.0	12500.0	298.0	7232	12502
newpoint	23	1	1	4	16622.0	22034.0	504.5	16614	22041
newpoint	24	1	5	4	7559.0	8476.0	31.53125	7682	8321
point	24	2	5	5	7578.600097471465	8451.300690178236	31.53125	7682	8321
point	23	2	1	5	16227.462954797378	21737.763068292963	504.5	16194	21723
point	22	2	0	5	7122.138765803324	12841.561693880385	448.0	7065	12912
point	21	2	1	5	8164.629306565699	18109.209768855235	298.0	8203	18122
